carlength,carwidth,carheight,curbweight,compressionratio,horsepower,peakrpm,price
173.2,66.3,50.2,2833,7,145,5000,12629
173.2,66.3,50.2,2921,7,145,5000,14869
173.2,66.3,50.2,2926,7,145,5000,14489
172.4,65.4,51.6,2365,8.5,88,5000,6989
172.4,65.4,51.6,2405,8.5,88,5000,8189
172.4,65.4,51.6,2403,7.5,116,5500,9279
172.4,65.4,51.6,2403,7.5,116,5500,9279
165.3,63.8,54.5,1889,9.4,69,5200,5499
165.3,63.8,54.5,2017,21.9,55,4800,7099
165.3,63.8,54.5,1918,9.4,69,5200,6649
165.3,63.8,54.5,1938,9.4,69,5200,6849
170.2,63.8,53.5,2024,9.4,69,5200,7349
165.3,63.8,54.5,1951,9.4,69,5200,7299
165.6,63.8,53.3,2028,9.4,69,5200,7799
165.3,63.8,54.5,1971,9.4,69,5200,7499
170.2,63.8,53.5,2037,9.4,69,5200,7999
162.4,63.8,53.3,2008,9.4,69,5200,8249
173.4,65.2,54.7,2324,8.5,97,5200,8949
173.4,65.2,54.7,2302,8.5,97,5200,9549
181.7,66.5,55.1,3095,9,152,5200,13499
184.6,66.5,56.1,3296,9,152,5200,14399
184.6,66.5,55.1,3060,9,152,5200,13499
170.7,67.9,49.7,3071,9,160,5200,17199
170.7,67.9,49.7,3139,7.8,200,5200,19699
178.5,67.9,49.7,3139,9,160,5200,18399
186.7,68.4,56.7,3020,8.4,97,5000,11900
186.7,68.4,56.7,3197,21,95,4150,13200
198.9,68.4,58.7,3230,8.4,97,5000,12440
198.9,68.4,58.7,3430,21,95,4150,13860
186.7,68.4,56.7,3075,8.4,95,5000,15580
186.7,68.4,56.7,3252,21,95,4150,16900
198.9,68.4,56.7,3285,8.4,95,5000,16695
198.9,68.4,58.7,3485,21,95,4150,17075
186.7,68.4,56.7,3075,8.4,97,5000,16630
186.7,68.4,56.7,3252,21,95,4150,17950
186.7,68.3,56,3130,7,142,5600,18150
157.3,63.8,50.8,1918,9.4,68,5500,5572
157.3,63.8,50.8,2128,7.6,102,5500,7957
157.3,63.8,50.6,1967,9.4,68,5500,6229
167.3,63.8,50.8,1989,9.4,68,5500,6692
167.3,63.8,50.8,2191,9.4,68,5500,7609
174.6,64.6,59.8,2535,8.5,88,5000,8921
173.2,66.3,50.2,2818,7,145,5000,12764
168.9,68.3,50.2,2778,9.5,143,5500,22018
168.9,65,51.6,2756,9.5,207,5900,32528
168.9,65,51.6,2756,9.5,207,5900,34028
168.9,65,51.6,2800,9.5,207,5900,37028
175.7,72.3,50.5,3366,10,288,5750,31400.5
181.5,66.5,55.2,2579,8.7,90,5100,9295
176.8,66.6,50.5,2460,8.7,90,5100,9895
186.6,66.5,56.1,2658,9.31,110,5250,11850
186.6,66.5,56.1,2695,9.3,110,5250,12170
186.6,66.5,56.1,2707,9.3,110,5250,15040
186.6,66.5,56.1,2758,9.3,110,5250,15510
186.6,66.5,56.1,2808,9,160,5500,18150
186.6,66.5,56.1,2847,9,160,5500,18620
156.9,63.4,53.7,2050,9,69,4900,5118
157.9,63.6,53.7,2120,8.7,73,4400,7053
157.3,63.8,55.7,2240,8.7,73,4400,7603
172,65.4,52.5,2145,9.5,82,4800,7126
172,65.4,52.5,2190,9.5,82,4400,7775
172,65.4,52.5,2340,9,94,5200,9960
172,65.4,54.3,2385,9,82,4800,9233
172,65.4,54.3,2510,7.7,111,4800,11259
173.5,65.4,53,2290,9,82,4800,7463
173.5,65.4,53,2455,9,94,5200,10198
173.6,65.4,54.9,2420,9,82,4800,8013
173.6,65.4,54.9,2650,7.7,111,4800,11694
158.7,63.6,54.5,1985,9,62,4800,5348
158.7,63.6,54.5,2040,9,62,4800,6338
158.7,63.6,54.5,2015,9,62,4800,6488
169.7,63.6,59.1,2280,9,62,4800,6918
169.7,63.6,59.1,2290,9,62,4800,7898
169.7,63.6,59.1,3110,9,62,4800,8778
166.3,64.4,53,2081,9,70,4800,6938
166.3,64.4,52.8,2109,9,70,4800,7198
166.3,64.4,53,2275,22.5,56,4500,7898
166.3,64.4,52.8,2275,22.5,56,4500,7788
166.3,64.4,53,2094,9,70,4800,7738
166.3,64.4,52.8,2122,9,70,4800,8358
166.3,64.4,52.8,2140,9,70,4800,9258
168.7,64,52.6,2169,9,70,4800,8058
168.7,64,52.6,2204,9,70,4800,8238
168.7,64,52.6,2265,9.4,112,6600,9298
168.7,64,52.6,2300,9.4,112,6600,9538
176.2,65.6,52,2540,9.3,116,4800,8449
176.2,65.6,52,2536,9.3,116,4800,9639
176.2,65.6,52,2551,9.3,116,4800,9989
176.2,65.6,52,2679,9.3,116,4800,11199
176.2,65.6,52,2714,9.3,116,4800,11549
176.2,65.6,53,2975,9.3,116,4800,17669
175.6,66.5,54.9,2326,8.7,92,4200,8948
175.6,66.5,54.9,2480,22.5,73,4500,10698
175.6,66.5,53.9,2414,8.7,92,4200,9988
175.6,66.5,54.9,2414,8.7,92,4200,10898
175.6,66.5,53.9,2458,8.7,92,4200,11248
183.5,67.7,52,2976,9.3,161,5200,16558
183.5,67.7,52,3016,9.3,161,5200,15998
187.8,66.5,54.1,3131,9.2,156,5200,15690
187.8,66.5,54.1,3151,9.2,156,5200,15750
171.7,65.5,55.7,2261,23,52,4800,7775
171.7,65.5,55.7,2209,9,85,5250,7975
171.7,65.5,55.7,2264,23,52,4800,7995
171.7,65.5,55.7,2212,9,85,5250,8195
171.7,65.5,55.7,2275,9,85,5250,8495
171.7,65.5,55.7,2319,23,68,4500,9495
171.7,65.5,55.7,2300,10,100,5500,9995
159.3,64.2,55.6,2254,8.5,90,5500,11595
165.7,64,51.4,2221,8.5,90,5500,9980
180.2,66.9,55.1,2661,8.5,110,5500,13295
180.2,66.9,55.1,2579,23,68,4500,13845
183.1,66.9,55.1,2563,9,88,5500,12290
188.8,67.2,56.2,2912,9.5,114,5400,12940
188.8,67.2,57.5,3034,9.5,114,5400,13415
188.8,67.2,56.2,2935,9.5,114,5400,15985
188.8,67.2,57.5,3042,9.5,114,5400,16515
188.8,67.2,56.2,3045,7.5,162,5100,18420
188.8,67.2,57.5,3157,7.5,162,5100,18950
188.8,68.9,55.5,2952,9.5,114,5400,16845
188.8,68.8,55.5,3049,8.7,160,5300,19045
188.8,68.9,55.5,3012,8.8,134,5500,21485
188.8,68.9,55.5,3217,23,106,4800,22470
188.8,68.9,55.5,3062,9.5,114,5400,22625
